haplotype	temperature	date_assay	sex	age	number	recovery_time	10s_1	10s_2	10s_3	10s_mean	mean_10s	5s_1	5s_2	5s_3	5s_mean	mean_5s
VSK/VNR	21	07/01/2025	male	7-9	3	30min	3	3	3	3	1	3	1	3	2.333333333	0.7777777778
ANR/VNR	21	07/01/2025	male	7-9	6	30min	5	5	5	5	0.8333333333	5	5	5	5	0.8333333333
ANR/VNR	21	07/01/2025	male	7-9	6	30min	6	6	6	6	1	6	6	6	6	1
ANR/VNR	21	07/01/2025	male	7-9	6	30min	5	6	6	5.666666667	0.9444444444	5	6	6	5.666666667	0.9444444444
ANR/VNR	21	07/01/2025	male	7-9	7	30min	6	6	6	6	0.8571428571	6	5	6	5.666666667	0.8095238095
VSR/VNR	21	07/01/2025	male	7-9	7	30min	6	6	6	6	0.8571428571	5	4	6	5	0.7142857143
VSR/VNR	21	07/01/2025	male	7-9	7	30min	6	6	5	5.666666667	0.8095238095	5	4	5	4.666666667	0.6666666667
VNK/VNR	21	07/01/2025	male	7-9	10	30min	9	10	9	9.333333333	0.9333333333	10	10	10	10	1
VNK/VNR	21	07/01/2025	male	7-9	8	30min	7	7	7	7	0.875	6	6	7	6.333333333	0.7916666667
ASK/VNR	21	07/01/2025	male	7-9	11	30min	8	8	9	8.333333333	0.7575757576	6	8	7	7	0.6363636364
ASK/VNR	21	07/11/2025	male	8	7	40min	4	4	3	3.666666667	0.5238095238	3	3	2	2.666666667	0.380952381
ANR/VNR	21	07/11/2025	male	8	7	40min	7	6	7	6.666666667	0.9523809524	6	6	6	6	0.8571428571
ASK/VNR	21	07/14/2025	male	7	9	30min	7	7	7	7	0.7777777778	7	6	6	6.333333333	0.7037037037
ASK/VNR	21	07/14/2025	male	7	8	30min	7	7	8	7.333333333	0.9166666667	8	7	8	7.666666667	0.9583333333
VNK/VNR	21	07/14/2025	male	7	10	30min	7	7	9	7.666666667	0.7666666667	8	6	7	7	0.7
VSR/VNR	21	07/14/2025	male	7	7	30min	5	5	5	5	0.7142857143	5	6	6	5.666666667	0.8095238095
VSK/VNR	21	07/25/2025	male	9	6	40min	6	6	6	6	1	5	4	5	4.666666667	0.7777777778
VSR/VNR	21	07/28/2025	male	10	4	60min	4	4	4	4	1	4	3	4	3.666666667	0.9166666667
ASR/VNR	21	07/28/2025	male	10	7	60min	7	7	7	7	1	5	7	5	5.666666667	0.8095238095
VSR/VNR	21	07/28/2025	male	11	8	60min	7	7	7	7	0.875	4	6	6	5.333333333	0.6666666667
ASR/VNR	21	07/28/2025	male	11	8	60min	6	6	6	6	0.75	6	5	5	5.333333333	0.6666666667
ASR/VNR	21	07/28/2025	male	11	8	60min	8	7	8	7.666666667	0.9583333333	6	6	7	6.333333333	0.7916666667
ASR/VNR	21	07/31/2025	male	10	6	60min	6	6	5	5.666666667	0.9444444444	4	5	4	4.333333333	0.7222222222
VSR/VNR	21	07/31/2025	male	10	5	60min	5	4	5	4.666666667	0.9333333333	5	5	5	5	1
ANR/VNR	21	07/31/2025	male	10	7	60min	7	7	7	7	1	6	7	6	6.333333333	0.9047619048
VSK/VNR	21	07/31/2025	male	10	5	60min	5	5	5	5	1	5	4	5	4.666666667	0.9333333333
VSK/VNR	21	07/31/2025	male	10	5	60min	4	5	5	4.666666667	0.9333333333	4	2	3	3	0.6
VSK/VNR	21	07/31/2025	male	7-10	11	60min	10	10	10	10	0.9090909091	9	7	8	8	0.7272727273
ASR/VNR	21	07/31/2025	male	7-10	8	60min	6	5	5	5.333333333	0.6666666667	5	4	4	4.333333333	0.5416666667
ANR/VNR	21	07/31/2025	male	7-10	7	60min	6	6	6	6	0.8571428571	6	6	6	6	0.8571428571
ASR/VNR	21	07/31/2025	male	7-10	9	60min	9	9	9	9	1	8	7	7	7.333333333	0.8148148148
ANR/VNR	21	08/01/2025	male	7-10	5	60min	5	5	5	5	1	5	4	5	4.666666667	0.9333333333
VSK/VNR	21	08/01/2025	male	7-10	8	60min	8	8	8	8	1	8	7	8	7.666666667	0.9583333333
VSK/VNR	21	08/04/2025	male	7-10	10	50min	9	7	7	7.666666667	0.7666666667	5	5	4	4.666666667	0.4666666667
VSK/VNR	21	08/04/2025	male	7-10	10	50min	7	6	8	7	0.7	6	4	4	4.666666667	0.4666666667
ASR/VNR	21	08/08/2025	male	8	9	60min	8	9	7	8	0.8888888889	7	7	6	6.666666667	0.7407407407
VSK/VNR	21	08/11/2025	male	10	6	40min	5	5	6	5.333333333	0.8888888889	4	4	6	4.666666667	0.7777777778
ANR/VNR	21	08/11/2025	male	10	5	40min	5	5	4	4.666666667	0.9333333333	4	5	3	4	0.8
VSK/VNR	21	08/11/2025	male	7-10	7	40min	6	7	7	6.666666667	0.9523809524	5	7	7	6.333333333	0.9047619048
ANR/VNR	21	08/11/2025	male	7-10	5	40min	5	5	5	5	1	5	4	5	4.666666667	0.9333333333
ASR/VNR	21	08/11/2025	male	7-10	7	40min	7	6	7	6.666666667	0.9523809524	7	6	7	6.666666667	0.9523809524
ASR/VNR	21	08/11/2025	male	7-10	8	40min	8	8	8	8	1	8	8	7	7.666666667	0.9583333333
VNR/VNR	21	08/11/2025	male	7-10	11	40min	9	10	9	9.333333333	0.8484848485	8	9	10	9	0.8181818182
ANK/VNR	21	08/11/2025	male	7-10	9	40min	4	6	7	5.666666667	0.6296296296	6	6	6	6	0.6666666667
ASR/VNR	21	08/13/2025	male	8	6	40min	6	5	6	5.666666667	0.9444444444	3	4	4	3.666666667	0.6111111111
VSR/VNR	21	08/13/2025	male	7-10	6	40min	6	5	4	5	0.8333333333	5	4	3	4	0.6666666667
VNR/VNR	21	08/13/2025	male	7-10	6	40min	6	6	6	6	1	5	5	6	5.333333333	0.8888888889
