line	haplotype	cross_scheme	age_male	age_female	start_cross	stop_cross	cross_duration	count_progeny	number
trio_123_386BG	VNR	1 virgin male x 1 virgin female	2-4d	1-3d	7/11/2025 17:00	07/12/2025 16:00	24h	07/31/2025	12
trio_123_386BG	VNR	1 virgin male x 1 virgin female	2-4d	1-3d	7/11/2025 17:00	07/12/2025 16:00	24h	07/31/2025	15
trio_123_386BG	VNR	1 virgin male x 1 virgin female	2-4d	1-3d	7/11/2025 17:00	07/12/2025 16:00	24h	07/31/2025	9
trio_123_386BG	VNR	1 virgin male x 1 virgin female	2-4d	1-3d	7/11/2025 17:00	07/12/2025 16:00	24h	07/31/2025	24
trio_123_386BG	VNR	1 virgin male x 1 virgin female	2-4d	1-3d	7/11/2025 17:00	07/12/2025 16:00	24h	07/31/2025	17
trio_123_386BG	VNR	1 virgin male x 1 virgin female	2-4d	1-3d	7/11/2025 17:00	07/12/2025 16:00	24h	07/31/2025	1
trio_123_386BG	VNR	1 virgin male x 1 virgin female	2-4d	1-3d	7/11/2025 17:00	07/12/2025 16:00	24h	07/31/2025	12
iso8_2_386BG	ASK	1 virgin male x 1 virgin female	2-4d	1-3d	7/18/2025 15:00	07/19/2025 15:00	24h	08/08/2025	7
iso8_2_386BG	ASK	1 virgin male x 1 virgin female	2-4d	1-3d	7/18/2025 15:00	07/19/2025 15:00	24h	08/08/2025	17
iso8_2_386BG	ASK	1 virgin male x 1 virgin female	2-4d	1-3d	7/18/2025 15:00	07/19/2025 15:00	24h	08/08/2025	7
iso8_2_386BG	ASK	1 virgin male x 1 virgin female	2-4d	1-3d	7/18/2025 15:00	07/19/2025 15:00	24h	08/08/2025	7
iso8_2_386BG	ASK	1 virgin male x 1 virgin female	2-4d	1-3d	7/18/2025 15:00	07/19/2025 15:00	24h	08/08/2025	5
iso8_2_386BG	ASK	1 virgin male x 1 virgin female	2-4d	1-3d	7/18/2025 15:00	07/19/2025 15:00	24h	08/08/2025	6
iso8_2_386BG	ASK	1 virgin male x 1 virgin female	2-4d	1-3d	7/18/2025 15:00	07/19/2025 15:00	24h	08/08/2025	3
trio_123_386BG	VNR	1 virgin male x 1 virgin female	2-4d	1-3d	7/18/2025 15:00	07/19/2025 15:00	24h	08/08/2025	7
trio_123_386BG	VNR	1 virgin male x 1 virgin female	2-4d	1-3d	7/18/2025 15:00	07/19/2025 15:00	24h	08/08/2025	15
trio_123_386BG	VNR	1 virgin male x 1 virgin female	2-4d	1-3d	7/18/2025 15:00	07/19/2025 15:00	24h	08/08/2025	14
trio_123_386BG	VNR	1 virgin male x 1 virgin female	2-4d	1-3d	7/18/2025 15:00	07/19/2025 15:00	24h	08/08/2025	7
trio_123_386BG	VNR	1 virgin male x 1 virgin female	2-4d	1-3d	7/18/2025 15:00	07/19/2025 15:00	24h	08/08/2025	1
trio_123_386BG	VNR	1 virgin male x 1 virgin female	2-4d	1-3d	7/18/2025 15:00	07/19/2025 15:00	24h	08/08/2025	8
trio_123_386BG	VNR	1 virgin male x 1 virgin female	2-4d	1-3d	7/18/2025 15:00	07/19/2025 15:00	24h	08/08/2025	2
iso8_2_386BG	ASK	1 virgin male x 1 virgin female	2-4d	1-3d	08/01/2025 10:30	08/02/2025 10:30	24h	08/27/2025	9
iso8_2_386BG	ASK	1 virgin male x 1 virgin female	2-4d	1-3d	08/01/2025 10:30	08/02/2025 10:30	24h	08/27/2025	14
iso8_2_386BG	ASK	1 virgin male x 1 virgin female	2-4d	1-3d	08/01/2025 10:30	08/02/2025 10:30	24h	08/27/2025	13
iso8_2_386BG	ASK	1 virgin male x 1 virgin female	2-4d	1-3d	08/01/2025 10:30	08/02/2025 10:30	24h	08/27/2025	17
iso8_2_386BG	ASK	1 virgin male x 1 virgin female	2-4d	1-3d	08/01/2025 10:30	08/02/2025 10:30	24h	08/27/2025	12
iso8_2_386BG	ASK	1 virgin male x 1 virgin female	2-4d	1-3d	08/01/2025 10:30	08/02/2025 10:30	24h	08/27/2025	1
iso8_2_386BG	ASK	1 virgin male x 1 virgin female	2-4d	1-3d	08/01/2025 10:30	08/02/2025 10:30	24h	08/27/2025	17
trio_123_386BG	VNR	1 virgin male x 1 virgin female	2-4d	1-3d	08/01/2025 10:30	08/02/2025 10:30	24h	08/27/2025	7
trio_123_386BG	VNR	1 virgin male x 1 virgin female	2-4d	1-3d	08/01/2025 10:30	08/02/2025 10:30	24h	08/27/2025	9
trio_123_386BG	VNR	1 virgin male x 1 virgin female	2-4d	1-3d	08/01/2025 10:30	08/02/2025 10:30	24h	08/27/2025	7
trio_123_386BG	VNR	1 virgin male x 1 virgin female	2-4d	1-3d	08/01/2025 10:30	08/02/2025 10:30	24h	08/27/2025	16
trio_123_386BG	VNR	1 virgin male x 1 virgin female	2-4d	1-3d	08/01/2025 10:30	08/02/2025 10:30	24h	08/27/2025	6
trio_123_386BG	VNR	1 virgin male x 1 virgin female	2-4d	1-3d	08/01/2025 10:30	08/02/2025 10:30	24h	08/27/2025	16
trio_123_386BG	VNR	1 virgin male x 1 virgin female	2-4d	1-3d	08/01/2025 10:30	08/02/2025 10:30	24h	08/27/2025	5
trio_123_386BG	VNR	1 virgin male x 1 virgin female	2-4d	1-3d	08/01/2025 10:30	08/02/2025 10:30	24h	08/27/2025	12
