OG0001402	FBtr0078170
OG0001403	FBtr0078164
OG0001404	FBtr0078100
OG0001405	FBtr0290323
OG0001406	FBtr0301452
OG0001407	FBtr0089429
OG0001408	FBtr0078156
OG0001409	FBtr0302194
OG0001410	FBtr0330645
OG0001411	FBtr0078116
OG0001412	FBtr0301929
OG0001413	FBtr0078147
OG0001414	FBtr0078117
OG0001415	FBtr0078119
OG0001416	FBtr0091612
OG0001417	FBtr0078122
OG0001418	FBtr0078124
OG0001419	FBtr0078146
OG0001420	FBtr0299837
OG0001421	FBtr0078126
OG0001422	FBtr0078143
OG0001423	FBtr0078140
OG0001424	FBtr0078142
OG0001425	FBtr0078127
OG0001426	FBtr0078139
OG0001427	FBtr0078128
OG0001428	FBtr0300804
OG0001429	FBtr0078129
OG0001430	FBtr0078137
OG0001431	FBtr0078136
OG0001432	FBtr0078134
OG0001433	FBtr0078130
OG0001434	FBtr0078133
OG0001435	FBtr0078131
OG0001436	FBtr0331205
OG0001437	FBtr0078050
OG0001438	FBtr0078099
OG0001439	FBtr0078098
OG0001440	FBtr0078052
OG0001441	FBtr0330696
OG0001442	FBtr0078096
OG0001443	FBtr0078094
OG0001444	FBtr0078053
OG0001445	FBtr0078093
OG0001446	FBtr0078054
OG0001447	FBtr0089489
OG0001448	FBtr0078055
OG0001449	FBtr0078090
OG0001450	FBtr0078056
OG0001451	FBtr0078089
OG0001452	FBtr0078057
OG0001453	FBtr0078058
OG0001454	FBtr0078059
OG0001455	FBtr0078087
OG0001456	FBtr0078060
OG0001457	FBtr0078061
OG0001458	FBtr0310034
OG0001459	FBtr0078062
OG0001460	FBtr0078083
OG0001461	FBtr0329895
OG0001462	FBtr0078081
OG0001463	FBtr0078080
OG0001464	FBtr0078064
OG0001465	FBtr0078079
OG0001466	FBtr0078078
OG0001467	FBtr0078066
OG0001468	FBtr0078067
OG0001469	FBtr0078075
OG0001470	FBtr0078068
OG0001471	FBtr0078074
OG0001472	FBtr0078069
OG0001473	FBtr0346650
OG0001474	FBtr0078070
OG0001475	FBtr0343221
OG0001476	FBtr0078071
OG0001478	FBtr0078045
OG0001479	FBtr0301316
OG0001480	FBtr0078001
OG0001481	FBtr0078006
OG0001482	FBtr0078007
OG0001483	FBtr0078042
OG0001484	FBtr0078009
OG0001485	FBtr0078041
OG0001486	FBtr0078010
OG0001487	FBtr0078040
OG0001488	FBtr0078039
OG0001489	FBtr0078011
OG0001490	FBtr0078012
OG0001491	FBtr0078038
OG0001492	FBtr0078014
OG0001493	FBtr0078016
OG0001494	FBtr0078017
OG0001495	FBtr0078018
OG0001496	FBtr0078033
OG0001497	FBtr0078030
OG0001498	FBtr0091489
OG0001499	FBtr0078023
OG0001500	FBtr0332181
OG0001501	FBtr0336969
OG0001502	FBtr0301416
OG0001503	FBtr0077951
OG0001504	FBtr0077993
OG0001505	FBtr0077952
OG0001506	FBtr0077953
OG0001507	FBtr0332570
OG0001508	FBtr0077955
OG0001509	FBtr0077987
OG0001510	FBtr0077956
OG0001511	FBtr0077986
OG0001512	FBtr0332271
OG0001513	FBtr0077958
OG0001514	FBtr0077959
OG0001515	FBtr0077985
OG0001516	FBtr0077960
OG0001517	FBtr0077981
OG0001518	FBtr0077962
OG0001519	FBtr0077980
OG0001520	FBtr0077965
OG0001521	FBtr0077979
OG0001522	FBtr0077971
OG0001523	FBtr0077972
OG0001524	FBtr0077977
OG0001525	FBtr0114498
OG0001526	FBtr0299796
OG0001527	FBtr0077920
OG0001528	FBtr0077946
OG0001529	FBtr0077944
OG0001530	FBtr0077943
OG0001531	FBtr0329947
OG0001532	FBtr0077926
OG0001533	FBtr0077929
OG0001534	FBtr0077930
OG0001535	FBtr0077932
OG0001536	FBtr0334820
OG0001537	FBtr0114554
OG0001538	FBtr0077917
OG0001539	FBtr0077916
OG0001540	FBtr0474154
OG0001541	FBtr0077876
OG0001542	FBtr0077915
OG0001543	FBtr0303933
OG0001544	FBtr0077881
OG0001545	FBtr0077912
OG0001546	FBtr0077882
OG0001548	FBtr0077888
OG0001549	FBtr0077894
OG0001550	FBtr0089786
OG0001551	FBtr0077893
OG0001552	FBtr0077891
OG0001553	FBtr0473589
OG0001554	FBtr0333006
OG0001555	FBtr0077871
OG0001556	FBtr0307516
OG0001557	FBtr0330202
OG0001558	FBtr0077813
OG0001559	FBtr0077869
OG0001560	FBtr0077814
OG0001561	FBtr0077815
OG0001562	FBtr0077868
OG0001563	FBtr0077816
OG0001564	FBtr0100503
OG0001565	FBtr0309285
OG0001566	FBtr0301066
OG0001567	FBtr0299676
OG0001568	FBtr0077822
OG0001569	FBtr0077826
OG0001570	FBtr0300671
OG0001571	FBtr0077827
OG0001572	FBtr0077854
OG0001573	FBtr0077828
OG0001574	FBtr0301660
OG0001575	FBtr0077852
OG0001576	FBtr0077829
OG0001577	FBtr0077831
OG0001578	FBtr0077832
OG0001579	FBtr0077850
OG0001580	FBtr0330664
OG0001581	FBtr0077845
OG0001582	FBtr0077844
OG0001583	FBtr0112365
OG0001584	FBtr0077843
OG0001585	FBtr0299970
OG0001586	FBtr0077835
OG0001587	FBtr0077836
OG0001588	FBtr0077840
OG0001589	FBtr0329965
OG0001590	FBtr0077751
OG0001591	FBtr0077754
OG0001592	FBtr0302372
OG0001593	FBtr0077803
OG0001594	FBtr0077756
OG0001595	FBtr0077801
OG0001596	FBtr0077757
OG0001597	FBtr0077758
OG0001598	FBtr0077799
OG0001599	FBtr0344662
OG0001600	FBtr0077793
OG0001601	FBtr0077762
OG0001602	FBtr0330667
OG0001603	FBtr0077791
OG0001604	FBtr0077765
OG0001605	FBtr0077767
OG0001606	FBtr0077768
OG0001607	FBtr0077790
OG0001608	FBtr0077769
OG0001609	FBtr0307079
OG0001610	FBtr0077770
OG0001611	FBtr0077771
OG0001612	FBtr0077782
OG0001613	FBtr0077780
OG0001614	FBtr0077781
OG0001615	FBtr0077750
OG0001616	FBtr0077693
OG0001617	FBtr0077745
OG0001618	FBtr0077694
OG0001619	FBtr0077744
OG0001620	FBtr0335171
OG0001621	FBtr0114513
OG0001622	FBtr0077743
OG0001623	FBtr0302456
OG0001624	FBtr0077698
OG0001625	FBtr0077699
OG0001626	FBtr0077700
OG0001627	FBtr0077702
OG0001628	FBtr0300986
OG0001629	FBtr0334161
OG0001630	FBtr0089750
OG0001631	FBtr0077712
OG0001632	FBtr0077713
OG0001633	FBtr0100383
OG0001634	FBtr0077737
OG0001635	FBtr0077715
OG0001636	FBtr0077736
OG0001637	FBtr0077716
OG0001638	FBtr0077735
OG0001639	FBtr0077717
OG0001640	FBtr0077718
OG0001641	FBtr0077730
OG0001642	FBtr0077726
OG0001643	FBtr0077625
OG0001644	FBtr0077685
OG0001645	FBtr0077628
