FBtr	OG_ID	transcript_ID	gene_ID
FBtr0006151	OG0002493	CG3484-RA	Adhr
FBtr0070000	OG0010716	CG9565-RA	Nep3
FBtr0070002	OG0010719	CG9570-RA	CG9570
FBtr0070007	OG0010724	CG9577-RA	CG9577
FBtr0070008	OG0010726	CG9578-RA	CG9578
FBtr0070026	OG0010725	CG9581-RA	CG9581
FBtr0070027	OG0010723	CG9576-RA	Phf7
FBtr0070028	OG0010722	CG9575-RA	Rab35
FBtr0070032	OG0010720	CG9571-RA	fd19B
FBtr0070035	OG0010717	CG17003-RA	lky
FBtr0070036	OG0010715	CG12655-RA	CG12655
FBtr0070064	OG0009214	CG2945-RB	cin
FBtr0070066	OG0009221	CG3777-RB	CG3777
FBtr0070069	OG0009218	CG12470-RA	CG12470
FBtr0070070	OG0009219	CG17885-RA	Or1a
FBtr0070071	OG0009222	CG3757-RA	y
FBtr0070072	OG0009223	CG3796-RA	ac
FBtr0070073	OG0009224	CG3827-RA	sc
FBtr0070074	OG0009225	CG3839-RA	l(1)sc
FBtr0070075	OG0009226	CG3258-RA	ase
FBtr0070079	OG0009231	CG3156-RA	CG3156
FBtr0070080	OG0009233	CG17778-RA	CG17778
FBtr0070087	OG0009234	CG4122-RG	svr
FBtr0070089	OG0009235	CG4293-RA	CG4293
FBtr0070092	OG0009232	CG17896-RB	CG17896
FBtr0070094	OG0009230	CG18273-RA	CG18273
FBtr0070099	OG0009227	CG3972-RA	Cyp4g1
FBtr0070101	OG0009220	CG32816-RB	CG32816
FBtr0070103	OG0009217	CG13375-RA	CG13375
FBtr0070106	OG0009215	CG13377-RA	CG13377
FBtr0070108	OG0009211	CG3038-RA	CG3038
FBtr0070115	OG0009240	CG13369-RA	CG13369
FBtr0070116	OG0009241	CG17829-RA	Hinfp
FBtr0070119	OG0009243	CG6189-RA	Mybbp1A
FBtr0070120	OG0009245	CG6222-RA	su(sable)
FBtr0070121	OG0009246	CG13367-RA	CG13367
FBtr0070134	OG0009250	CG5254-RA	CG5254
FBtr0070135	OG0009251	CG5273-RA	CG5273
FBtr0070139	OG0009254	CG12311-RA	tw
FBtr0070142	OG0009259	CG14635-RA	CG14635
FBtr0070145	OG0009256	CG13359-RA	CG13359
FBtr0070147	OG0009255	CG13360-RA	CG13360
FBtr0070148	OG0009252	CG7434-RA	RpL22
FBtr0070149	OG0009249	CG13361-RA	CG13361
FBtr0070151	OG0009248	CG13363-RA	Hmt4-20
FBtr0070155	OG0009242	CG7622-RA	RpL36
FBtr0070160	OG0009238	CG13365-RA	CG13365
FBtr0070163	OG0009262	CG11664-RA	CG11664
FBtr0070164	OG0009263	CG11663-RA	CG11663
FBtr0070165	OG0009265	CG3034-RA	MED22
FBtr0070167	OG0009268	CG11642-RB	TRAM
FBtr0070170	OG0009270	CG3026-RA	mus81
FBtr0070172	OG0009274	CG14631-RA	CG14631
FBtr0070173	OG0009276	CG3021-RA	CG3021
