OG_ID	gene_ID
OG0001404	dbr
OG0001405	net
OG0001408	CG4822
OG0001409	ovm
OG0001410	CG31974
OG0001411	CG11454
OG0001412	CG42399
OG0001413	Pus10
OG0001418	mRpL10
OG0001422	Rpp30
OG0001424	CG17075
OG0001426	mbm
OG0001427	CG11555
OG0001428	CG17078
OG0001429	smo
OG0001432	Amnionless
OG0001435	Stip1
OG0001437	Plc21C
OG0001438	CG11912
OG0001439	CG11911
OG0001440	CG33127
OG0001441	CG43755
OG0001443	Ent1
OG0001445	CG4213
OG0001446	Polr1B
OG0001448	ebi
OG0001449	CG13690
OG0001451	CG11885
OG0001453	BBS8
OG0001454	ex
OG0001455	crq
OG0001458	CG4297
OG0001460	cbt
OG0001461	ush
OG0001463	Spp
OG0001464	nAChRbeta3
OG0001465	Ets21C
OG0001466	rempA
OG0001468	CG2794
OG0001471	Ipk2
OG0001473	Ptth
OG0001474	Pph13
OG0001479	Eaat2
OG0001482	CG3544
OG0001484	Dbp21E2
OG0001485	Saf6
OG0001486	Pex12
OG0001487	CG15880
OG0001491	CG3862
OG0001494	CG13949
OG0001497	dbe
OG0001498	PNUTS
OG0001500	CG15824
OG0001503	gNacalpha
OG0001505	ast
OG0001507	CG4629
OG0001510	TBC1D23
OG0001511	Iris
OG0001512	Spar
OG0001513	MFS3
OG0001514	Nsun4
OG0001517	CG5080
OG0001518	IntS14
OG0001519	Plap
OG0001520	CG31922
OG0001521	Charon
OG0001522	Tgt
OG0001524	CG5139
OG0001526	CG42329
OG0001527	CG5397
OG0001528	CG31924
OG0001530	CG31659
OG0001531	NLaz
OG0001532	CG14346
OG0001533	CG31928
OG0001534	CG33128
OG0001535	CG31661
OG0001541	CG14352
OG0001546	mRpL48
OG0001548	Gr22e
OG0001549	c-cup
OG0001552	CG7295
OG0001553	CG15358
OG0001555	CG15357
OG0001556	CG33673
OG0001557	erm
OG0001559	CG15356
OG0001560	CG15362
OG0001561	CG7289
OG0001564	Obp22a
OG0001566	CG4238
OG0001567	CG42296
OG0001569	Or22c
OG0001570	dpr3
OG0001571	Paf1L
OG0001572	CG4259
OG0001574	tho2
OG0001575	CG11723
OG0001576	Tbcd
OG0001577	AIF
OG0001579	aop
OG0001580	CG10874
OG0001581	CG15385
OG0001582	Uch
OG0001584	daed
OG0001587	papi
OG0001589	Sec24CD
OG0001592	CG34049
OG0001593	CG17242
OG0001594	CG4271
OG0001595	CG17237
OG0001596	CG31949
OG0001601	Axud1
OG0001603	CG3609
OG0001604	Atxn7
OG0001606	PIG-Wa
OG0001607	CG3557
OG0001610	Glyctk
OG0001611	dpp
OG0001613	oaf
OG0001614	CG3528
OG0001615	CG3515
OG0001620	CG15394
OG0001621	CG15395
OG0001622	CG9962
OG0001623	CG33125
OG0001626	Trf4
OG0001627	Gr23a
OG0001628	Trf5
OG0001629	CG31689
OG0001635	Tnpo-SR
OG0001641	CG15399
OG0001644	Ifrd1
OG0001645	CG8813
OG0001646	Acbp7
OG0001647	Prx6a
OG0001650	NTPase
OG0001651	lilli
OG0001652	Ts
OG0001653	Rrp1
OG0001654	CG9641
OG0001655	CG3165
OG0001656	CG9643
OG0001657	Chd1
OG0001659	okr
OG0001660	CG3558
OG0001661	CG17224
OG0001662	CG17264
OG0001663	alpha4GT1
OG0001664	Prp40
OG0001666	GABPI
OG0001667	CG17258
OG0001669	CG17260
OG0001671	Rtn4ip1
OG0001672	CG17261
OG0001673	toc
OG0001676	Tdp1
OG0001678	CG15404
OG0001679	CG34393
OG0001680	CG3347
OG0001681	OtopLb
OG0001682	CG9664
OG0001683	CG9663
OG0001684	CG15406
OG0001685	CG3277
OG0001686	Fign
OG0001688	CG33281
OG0001689	E23
OG0001690	CG8838
OG0001691	GramD1B
OG0001694	Ptpa
OG0001695	Sfp23F
OG0001697	Pgant2
OG0001699	CG2772
OG0001701	CG12795
OG0001702	Cog3
OG0001704	CG3246
OG0001708	tim
OG0001710	LeuRS
OG0001714	Spindly
OG0001715	IFT57
OG0001717	sob
OG0001718	odd
OG0001719	Ugt36A1
OG0001720	for
OG0001723	CG3604
OG0001724	CG10031
OG0001727	cutlet
OG0001728	CG2818
OG0001729	
OG0001735	slp2
OG0001741	CG3702
OG0001743	Art2
OG0001745	bdl
OG0001746	CG15429
OG0001753	CG33003
OG0001755	CG15431
OG0001757	CG43056
OG0001760	Elp3
OG0001761	MFS18
OG0001762	CG15439
OG0001763	Secp43
OG0001768	CG15435
OG0001769	CG15443
OG0001772	HP6
OG0001774	Elba1
OG0001775	Elba3
OG0001776	CG3251
OG0001777	Taf12L
OG0001779	CG15631
OG0001781	CG3294
OG0001784	CG3225
OG0001786	Fnta
OG0001788	mxt
OG0001793	Cf2
OG0001795	CG15625
OG0001796	CG3036
OG0001797	snsl
OG0001799	hoe2
OG0001800	synr
OG0001802	betaggt-I
OG0001808	Polr1C
OG0001809	l(2)05714
OG0001810	CG14043
OG0001811	mRpL28
OG0001815	CG8892
OG0001816	CG34126
OG0001817	Rtnl1
OG0001819	SelT
OG0001821	SP555
OG0001822	CG31650
OG0001824	CG44000
OG0001826	CG9121
OG0001828	senju
OG0001830	Nepl3
OG0001832	qtc
OG0001835	Pank4
OG0001836	CG4230
OG0001839	CG14034
OG0001842	Nin
OG0001843	Bub1
OG0001844	vri
OG0001850	Acsf2
OG0001853	CG7382
OG0001854	cl
OG0001855	Vps52
OG0001856	Elp4
OG0001857	Cap-D3
OG0001858	CG31915
OG0001859	Coq6
OG0001862	Lam
OG0001864	CG14014
OG0001865	CG18269
OG0001866	CG14013
OG0001868	GluRIIA
OG0001869	GluRIIB
OG0001870	CG14011
OG0001871	CG7251
OG0001872	CG18266
OG0001873	DIP-eta
OG0001874	DIP-theta
OG0001877	TrissinR
OG0001879	Acp26Ab
OG0001880	CG9021
OG0001881	CG14000
OG0001889	psd
OG0001891	Ucp4C
OG0001895	Kdm5
OG0001896	Tsp26A
OG0001897	CG9098
OG0001898	H2.0
OG0001900	CG9107
OG0001901	CG9109
OG0001903	CG31643
OG0001904	Pfas
